goal,target
fitness,fitness
damage,dégât
filmmaker,cinéaste
record,enregistrement
cap,bonnet
executive,exécutif
grape,raisin
humanity,humanité
actress,actrice
procession,procession
newspaper,journal
operator,opérateur
pollution,pollution
merchandise,marchandise
regiment,régiment
sign,signe
option,choix
salary,salaire
fighter,chasseur
culture,culture
entity,entité
shape,forme
mind,esprit
birthday,anniversaire
legacy,héritage
memory,mémoire
wire,fil
takeoff,décollage
unification,unification
father,père
motorcycle,moto
reaction,réaction
unrest,agitation
comment,commentaire
birth,naissance
assumption,supposition
ride,bagnole
lure,leurre
equity,action
instruction,instruction
program,programme
motto,devise
confidence,confidence
contact,contact
heel,talon
church,église
bank,banque
existence,existence
certification,certification
strike,strike
attention,attention
turf,gazon
landscape,paysage
crust,croûte
faculty,faculté
mythology,mythologie
evaluation,évaluation
barrage,barrage
basis,base
opposition,opposition
delegation,délégation
maturity,maturité
acre,acre
ammunition,balle
generation,génération
mortality,mortalité
slide,glissade
defender,défenseur
architect,architecte
school,école
bench,banc
injection,injection
audition,audition
efficiency,rendement
accession,accession
photography,photographie
combination,combinaison
mortar,mortier
semifinal,demi-finale
vacation,vacances
emotion,émotion
nationalism,nationalisme
water,eau
catch,hic
advocacy,barreau
ceasefire,cessez-le-feu
casualty,victime
phrase,expression
dictator,dictateur
corn,cor
tribe,tribu
cult,culte
cost,coût
citadel,citadelle
liberation,libération
calibre,calibre
construction,construction
cooperation,coopération
synonym,synonyme
button,bouton
