goal,target
childhood,infancia
tract,tratado
blame,culpa
ball,bola
celebrity,celebridad
fraud,fraude
personality,personalidad
audience,audiencia
weaponry,armas
tenure,antigüedad
book,libro
lover,amante
passion,pasión
reputation,reputación
split,espagat
piano,piano
experimentation,experimentación
chemist,químico
obsession,obsesión
construction,construcción
disc,disco
food,alimento
commuter,viajero diario
ceiling,techo
deterioration,deterioro
value,valor
actor,actor
skill,habilidad
target,blanco
dirt,tierra
farm,finca
memoir,memoria
mechanism,mecanismo
rape,violación
level,nivel
beating,latido
piercing,pirsin
wound,herida
salmon,salmón
stealth,cautela
prevention,prevención
escort,escolta
modification,modificación
famine,hambruna
resolution,resolución
chloride,cloruro
plastic,plástico
sheet,capa
suffrage,sufragio
waste,pérdida
repetition,repetición
developer,promotor
break,quebrar
entertainment,entretenimiento
building,edificación
wind,flatulencia
pursuit,persecución
tragedy,tragedia
fight,lucha
monopoly,monopolio
chancellor,canciller
hiking,senderismo
rivalry,rivalidad
research,investigación
cassette,casete
replica,réplica
upgrade,mejora
age,edad
alpha,alfa
prize,premio
recreation,recreación
plate,placa
fairy,marica
athlete,atleta
cash,efectivo
uranium,uranio
court,corte
mask,máscara
silver,plateado
artillery,artillería
litter,camada
detection,detección
steam,vapor
phrase,expresión
cancellation,cancelación
phosphate,fosfato
condition,condición
tuition,enseñanza
homage,homenaje
boyfriend,novio
trainer,tenis
expansion,expansión
convenience,comodidad
illness,enfermedad
position,posición
depiction,representación
heart,corazón
group,grupo
partner,compañero
pet,mascota
