goal,target
yea,nay
lowness,highness
alignment,nonalignment
rewarding,unrewarding
incorrectly,correctly
boldness,timidity
diminution,augmentation
credible,incredible
unitary,federal
unnecessarily,necessarily
worth,worthlessness
erase,record
away,home
adequately,inadequately
outdoors,indoors
disarrange,arrange
individuality,commonality
unintended,intended
differentiate,integrate
useless,useful
sleep,wake
uncomplaining,complaining
member,nonmember
insensible,sensible
sanitary,unsanitary
unfit,fit
inviting,uninviting
faced,faceless
native,foreign
defendant,plaintiff
subsurface,surface
cry,laugh
inappropriate,appropriate
obedient,disobedient
pull,push
hypotension,hypertension
constancy,inconstancy
dissonance,harmony
determined,undetermined
coastal,inland
belief,unbelief
inequity,equity
aerobic,anaerobic
favorable,unfavorable
fold,unfold
appropriate,inappropriate
boy,girl
whisper,shout
broadly,narrowly
outward,inward
coated,uncoated
integration,segregation
generalist,specialist
acidity,alkalinity
insufficiently,sufficiently
inexact,exact
safe,out
uneven,even
insufficient,sufficient
increase,decrease
visibility,invisibility
conception,misconception
discourtesy,courtesy
lined,unlined
efferent,afferent
critically,uncritically
egalitarian,elitist
ignite,extinguish
isotonic,isometric
digital,analogue
algorithmic,heuristic
cathode,anode
temporarily,permanently
lovable,hateful
enchanted,disenchanted
exclusion,inclusion
inconsiderable,considerable
qualitative,quantitative
hopefully,hopelessly
unaltered,altered
objective,subjective
failure,success
boil,freeze
unfixed,fixed
frivolous,serious
nascent,dying
disapproval,approval
meager,ample
obligatory,optional
unacceptable,acceptable
eccentric,concentric
concentrated,distributed
reliable,unreliable
uncommitted,committed
unpolished,polished
unchain,chain
receptor,effector
glorious,inglorious
solvent,insolvent
unlucky,lucky
