goal,target
jurisdiction,Jurisdiktion
defeat,Niederlage
basketball,Basketball
angle,Winkel
jaw,Kiefer
wildlife,Tierwelt
homeland,Heimat
interface,Schnittstelle
cargo,Fracht
singer,Sänger
tradition,Tradition
robot,Roboter
lumber,Bauholz
chapter,Verband
certainty,Sicherheit
corporation,Unternehmen
reference,Referenz
business,Geschäft
bombardment,Bombardierung
funk,Funk
disguise,Verkleidung
butter,Butter
compromise,Kompromiss
sovereignty,Souveränität
bolster,Polster
stuff,Material
birth,Geburt
responsibility,Verantwortung
semester,Semester
actress,Schauspielerin
joke,Witz
prostitution,Prostitution
advisor,Berater
intervention,Intervention
credit,Kreditwürdigkeit
amusement,Amüsement
bear,Bär
discipline,Disziplin
assistance,Hilfe
product,Produkt
attack,Attacke
philosophy,Philosophie
equation,Gleichung
tier,Schicht
lighter,Leichter
scenery,Kulisse
canvas,Leinwand
shoulder,Schulter
whale,Wal
cream,Creme
forehead,Stirn
acre,Morgen
flow,Tätigkeitsrausch
book,Buch ; Pennsylvania German: buch
environment,Umgebung
disappearance,Verschwinden
hybrid,Hybride
doctor,Doktor
update,Aktualisierung
craft,Handwerker
card,Karte
release,Veröffentlichung
laser,Laser
house,Haus
bit,Bit
folk,Volk
resource,Hilfsmittel
connection,Verbindung
expense,Verlust
switch,Schalter
biography,Biografie
gender,Geschlecht
fence,Zaun ; Hag ; Fence ; Fenz
logo,Logo
exterior,Äußeres
science,Wissenschaft
effectiveness,Wirksamkeit
democracy,Demokratie
agreement,Vereinbarung
discourse,Diskurs
plenty,Fülle
check,Kontrolle
injury,Verletzung
customer,Kunde
terrace,Terrasse
constellation,Konstellation
flower,Blume
consensus,Konsens
hunt,Jagd
restaurant,Restaurant
promotion,Beförderung
casino,Kasino
accounting,Buchhaltung
answer,Antwort
appearance,Aussehen
shock,Schock
identification,Bezeichnung
referendum,Referendum
knife,Messer
terror,Schrecken
