goal,target
I wonder in which pocket it was that Kim had hidden the jewels. [w],wonder which was
The big man from New York loves bagels with cream cheese. [w],with
I explained how we should fix the sink. [f],fix
Phineas knows a girl who is behind Maxime. [a],a
The curtain which Fred tore in rolling up was the kind gift of my maternal Aunt Priscilla. [a],aunt
That joke never fails to amuse little children. [j],joke
He has a car. [h],he has
"If you take a dry match and strike it, it lights. [t]",take
John studied hard to pass the exam. [e],exam
How did you eat the cake? [c],cake
Who did you think Mary saw? [w],who
Martha carved a piece of wood for the baby. [w],wood
"Any senator seems to become more corrupt, as he talks to more lobbyists. [b]",become
Gilgamesh might not have been reading the cuneiform tablets. [b],been
The presentation of a plaque was a proud moment. [o],of
Ron heard a discussion in the foyer [f],foyer
Mary saw the tall man come from the back. [s],saw
Cynthia ate the peach with a fork. [w],with
The very young child walked from school to the store. [f],from
We cannot put up with the noise anymore. [n],noise
Clyde got a passionate love letter from Stacy. [s],stacy
That monkey is eating the banana. [m],monkey
Can you find the light bulb store? [b],bulb
He repeated his claim that the people backed his action. [c],claim
You can depend on my assistant and that he will be on time. [h],he
The writers did so believe the boy. [b],believe boy
"After the executioner left, Poseidon wept. [t]",the
He gave that girl my binoculars. [h],he
Anybody who ever swears at me better watch his step. [s],swears step
He blew up the building. [h],he
This very heavy parcel was delivered yesterday. [v],very
"That he was sick, we talked about for days. [a]",about
A cat jumped on the table. [o],on
She was always clad in black. [b],black
John scratched his arm and the boy who knew Mary scratched her arm. [j],john
John wants to come up with as good a solution as Christine did. [d],did
The doctor cured Pat of pneumonia. [p],pat pneumonia
I am fond of him. [f],fond
We drove all the way to Buenos Aires. [w],we way
I am to eat macaroni. [a],am
Louis was forgiven. [w],was
The tub filled with water. [f],filled
John told us that we should review the book. [b],book
Robert thinks that student should eat asparagus. [e],eat
Jack is more tall than thin. [m],more
My favorite language is a language with simple morphology and complicated syntax. [m],my morphology
He gave me more of his marbles than I wanted. [w],wanted
"Jason became invisible, so that he could escape [t]",that
"Reagan, whom the Republicans nominated in , lived most of his life in California. [w]",whom
"He coughed awake and we were all overjoyed, especially Sierra. [w]",we were
I sent money to Mary. [s],sent
Such a scholar as you were speaking of just now is here. [s],such scholar speaking
Did you notice which difficulties she made. [y],you
John gave Bill the book. [g],gave
Susan rode a bright blue train from New York. [a],a
"With him sick, the team is in trouble. [t]",the team trouble
You is the only person that I can rely on. [o],only on
only the student left. [o],only
There are strangers in that garden. [a],are
The middle class will gain from the new tax laws. [c],class
John rolled the ball from the tree to the bush. [b],ball bush
The bag is bulging with groceries. [g],groceries
"I often send Mary home drunk, and she gets there just fine. [g]",gets
Ellen complained about the situation. [t],the
The monkeys approved of their leader. [m],monkeys
I just know that the Big South teams everyone knew would win actually won the game. [s],south
I dried the clothes in the sun. [d],dried
I owe my acquittal to you. [a],acquittal
They were believed all to be quite diligent. [a],all
In the hallway ticked a grandfather clock. [t],the ticked
Evidence that he was drunk will be presented. [h],he
Nora sent books to children. [c],children
Paul breathed. [b],breathed
The accident happened. [t],the
Would you mind taking out the garbage? [y],you
It was to Boston that they decided to take the patient. [b],boston
He rowed Penny across the lake. [h],he
He would not finish. [h],he
Jean is likely to leave. [i],is
Every politician is worried when the press starts attacking him. [w],worried when
The farmer loaded apples into the cart. [i],into
Anson became the Mayor [m],mayor
They know if Mary won. [i],if
In the hallway there ticked a grandfather clock. [t],the there ticked
My niece could write me letters before her third birthday. [c],could
A proof was given that the claim that John had lied had been made. [g],given
For the girl to put a picture there is what I prefer. [t],the to there
I know a man who Bill saw and Mary liked. [b],bill
This girl in the red coat will put it and a picture of Bill on your desk before tomorrow. [d],desk
Herman mixed the eggs and the cream. [e],eggs
Press the stamp against the pad completely. [c],completely
Humans love to eat those pigs. [t],to those
Gene Simmons was originally named Haim Goldberg. [g],gene goldberg
I have wanted to meet the man who spent so much money planning the assassination of Kennedy for many years. [k],kennedy
The hat of the man standing over there impressed me greatly. [s],standing
I said this. [s],said
Anybody who ever swears at me better watch his step. [b],better
It is believed to be obvious by everyone that Fred is crazy. [e],everyone
I ate a mango and Gillian did too. [d],did
He told me how many employees Karen introduced to the visitors. [t],told to the
