goal,target
I considered many approaches.,Various approaches were considered.
Please call once you get there.,Please call upon your arrival.
Thanks for your help.,Your assistance is much appreciated.
The whole story was made up.,The entire story was fabricated.
I can't stand his temper.,I cannot tolerate his temper.
I got what you said.,I understood you.
I think that this is interesting.,It is my opinion that this is interesting.
We don't think it's a good idea to do anything right now.,It is suggested that no action should be taken at this stage.
This song is fire.,This song is incredibly good.
See you tonight.,I look forward to meeting you tonight.
Can you do all these tasks?,Would you be able to accomplish all these tasks?
Do you want me to go with you?,Shall I accompany you?
I can't tell the difference between these two.,I find it hard to distinguish between them.
The lawyer I met yesterday was helpful. ,The lawyer whom I met yesterday was helpful.
She looks like her sister.,She resembles her sister.
