goal,target
heathen,ethnic
network,web
basis,base
contingent,detail
shift,displacement
bedroom,chamber
leadership,leading
governor,regulator
familiarity,liberty
jointly,conjointly
direction,way
presently,currently
sport,feature
seventy,70
telling,notification
output,production
job,chore
emphasis,accent
spectator,witness
accomplished,complete
flying,fast
break,stop
quality,character
ceiling,roof
swallow,drink
particularly,specially
scenery,scene
spell,write
turkey,bomb
expose,display
forum,assembly
departure,going
contribution,part
amber,gold
devising,making
synagogue,temple
tension,stress
vent,air
stall,stand
extract,pull
course,line
picking,pick
realization,recognition
depressed,down
implicated,concerned
sensed,perceived
hate,hatred
disturb,trouble
abdomen,stomach
wheel,roll
listen,hear
juncture,occasion
past,preceding
candle,cd
plenty,plenitude
twenty,20
analyze,study
impossible,unacceptable
domain,land
acid,dose
collision,hit
fourth,4th
attachment,bond
rent,split
companion,fellow
menstruation,period
modesty,reserve
crowd,crew
owner,proprietor
fall,come
induce,have
sense,sensation
displace,can
sixteen,16
curl,wave
conclusion,end
legal,sound
restriction,limitation
review,survey
validation,proof
shed,cast
miss,lack
accept,have
rage,passion
junction,conjunction
climate,mood
critical,vital
inch,in
noise,interference
handwriting,hand
skin,peel
leverage,purchase
club,order
combining,combine
transplant,transfer
expansion,enlargement
novel,refreshing
doubling,double
adapted,altered
building,edifice
