goal,target
miss,kiss
show,blow
hi,buy
bee,he
composition,position
shoe,blue
souvenir,fear
stain,complain
wear,bear
old,hold
appear,engineer
grow,low
key,she
situation,examination
heel,steal
drawer,sore
behave,shave
high,hi
he,we
match,catch
sand,stand
phone,own
population,operation
test,west
succeed,feed
hurt,skirt
drink,think
real,meal
slim,swim
cab,lab
post,toast
know,sew
arrange,change
sheep,deep
late,straight
silk,milk
sauce,cross
shade,afraid
routine,screen
squash,wash
intermission,position
stressed,best
bone,own
prepare,care
red,dead
relaxation,animation
buy,fly
bear,fair
pet,net
kite,site
hate,gate
tie,goodbye
class,pass
chin,thin
suggest,depressed
tall,all
install,mall
enjoy,destroy
mess,yes
make,awake
organization,invitation
shower,flower
cut,but
mad,add
generation,celebration
examination,relaxation
bear,questionnaire
explain,train
try,fly
mile,smile
stir,sir
grade,trade
registration,immigration
spare,fare
control,role
charge,large
height,right
fly,goodbye
pour,explore
feed,speed
kangaroo,you
sad,mad
however,forever
chair,questionnaire
school,fool
war,drawer
stress,guess
there,hair
pea,we
buy,lie
hug,rug
view,flu
shark,park
right,write
condition,intermission
sore,anymore
shampoo,shoe
freeze,please
waste,taste
whole,control
